REFERENCIA;NOMBRE DEL PRODUCTO;CATEGORIA;LINEA;GENERO;ESTADO;IVA 
18431;Body Abby Blanco SM;Body Abby;MODA;F;Activo;IVA 19%
18451;Body Abby Camel SM;Body Abby;MODA;F;Activo;IVA 19%
18471;Body Abby Verde Militar SM;Body Abby;MODA;F;Activo;IVA 19%
18481;Body Abby Azul Oscuro SM;Body Abby;MODA;F;Activo;IVA 19%
18501;Body Abby Negro SM;Body Abby;MODA;F;Activo;IVA 19%
18511;Body Abby Verde Oliva SM;Body Abby;MODA;F;Activo;IVA 19%
20091;Body Abby Cafe SM;Body Abby;MODA;F;Activo;IVA 19%
20101;Body Abby Crema SM;Body Abby;MODA;F;Activo;IVA 19%
17933;Body Alana Blanco L;Body Alana;MODA;F;Activo;IVA 19%
17953;Body Alana Beige;Body Alana;MODA;F;Activo;IVA 19%
19911;Body Alana Rosado;Body Alana;MODA;F;Activo;IVA 19%
19913;Body Alana Rosado XL;Body Alana;MODA;F;Activo;IVA 19%
26041;Body Alaska Negro SM;Body Alaska;MODA;F;Activo;IVA 19%
26043;Body Alaska Negro LXL;Body Alaska;MODA;F;Activo;IVA 19%
26051;Body Alaska Blanco SM;Body Alaska;MODA;F;Activo;IVA 19%
26053;Body Alaska Blanco LXL;Body Alaska;MODA;F;Activo;IVA 19%
26061;Body Alaska Crema SM;Body Alaska;MODA;F;Activo;IVA 19%
26063;Body Alaska Crema LXL;Body Alaska;MODA;F;Activo;IVA 19%
26071;Body Alaska Camel SM;Body Alaska;MODA;F;Activo;IVA 19%
26073;Body Alaska Camel LXL;Body Alaska;MODA;F;Activo;IVA 19%
26081;Body Alaska Verde Militar SM;Body Alaska;MODA;F;Activo;IVA 19%
26083;Body Alaska Verde Militar LXL;Body Alaska;MODA;F;Activo;IVA 19%
26091;Body Alaska Azul Oscuro SM;Body Alaska;MODA;F;Activo;IVA 19%
26093;Body Alaska Azul Oscuro LXL;Body Alaska;MODA;F;Activo;IVA 19%
26101;Body Alaska Cafe SM;Body Alaska;MODA;F;Activo;IVA 19%
26103;Body Alaska Cafe LXL;Body Alaska;MODA;F;Activo;IVA 19%
26111;Body Alaska Verde Oliva SM;Body Alaska;MODA;F;Activo;IVA 19%
26113;Body Alaska Verde Oliva LXL;Body Alaska;MODA;F;Activo;IVA 19%
26881;Body Alaska Rojo SM;Body Alaska;MODA;F;Activo;IVA 19%
26883;Body Alaska Rojo LXL;Body Alaska;MODA;F;Activo;IVA 19%
26891;Body Alaska Terracota SM;Body Alaska;MODA;F;Activo;IVA 19%
26893;Body Alaska Terracota LXL;Body Alaska;MODA;F;Activo;IVA 19%
26901;Body Alaska Azul Bebe SM;Body Alaska;MODA;F;Activo;IVA 19%
26903;Body Alaska Azul Bebe LXL;Body Alaska;MODA;F;Activo;IVA 19%
